答卷编号,IP地址,开始时间,浏览器,操作系统,答题时长,状态,Q1_您所在的年级,Q2_您的性别,Q3_您喜欢旅游吗？,Q4_您出游的动机通常是：（多选）_舒缓压力，调节心情,Q4_您出游的动机通常是：（多选）_学校、社团或班级组织的活动,Q4_您出游的动机通常是：（多选）_开阔视野，增长见识,Q4_您出游的动机通常是：（多选）_单纯出去游玩,Q4_您出游的动机通常是：（多选）_其他,Q5_出游前您通常通过哪些渠道了解相关信息（多选）_到旅行社咨询,Q5_出游前您通常通过哪些渠道了解相关信息（多选）_上旅游网查询,Q5_出游前您通常通过哪些渠道了解相关信息（多选）_亲朋好友介绍,Q5_出游前您通常通过哪些渠道了解相关信息（多选）_校园海报广告等宣传,Q5_出游前您通常通过哪些渠道了解相关信息（多选）_其他,Q6_您喜欢的出游方式_在旅行社报团,Q6_您喜欢的出游方式_与亲友自助游,Q6_您喜欢的出游方式_独自出游,Q6_您喜欢的出游方式_与同学好友结伴,Q6_您喜欢的出游方式_其他,Q7_您出游的范围一般是（多选）_学校附近,Q7_您出游的范围一般是（多选）_您所在的市区内,Q7_您出游的范围一般是（多选）_您所在的省区内,Q7_您出游的范围一般是（多选）_出省游,Q7_您出游的范围一般是（多选）_其他,Q8_您通常出游的时间是（多选）_寒暑假,Q8_您通常出游的时间是（多选）_黄金周,Q8_您通常出游的时间是（多选）_周末,Q8_您通常出游的时间是（多选）_空余时间,Q8_您通常出游的时间是（多选）_其他,Q9_您出游时关注的服务要素有：（多选）_住宿,Q9_您出游时关注的服务要素有：（多选）_餐饮,Q9_您出游时关注的服务要素有：（多选）_娱乐,Q9_您出游时关注的服务要素有：（多选）_景区,Q9_您出游时关注的服务要素有：（多选）_交通,Q9_您出游时关注的服务要素有：（多选）_文化,Q9_您出游时关注的服务要素有：（多选）_其他,Q10_您旅游时会选择的住宿类型（多选）_星级宾馆酒店,Q10_您旅游时会选择的住宿类型（多选）_经济型连锁酒店,Q10_您旅游时会选择的住宿类型（多选）_普通招待所,Q10_您旅游时会选择的住宿类型（多选）_青年旅舍,Q10_您旅游时会选择的住宿类型（多选）_民宿,Q10_您旅游时会选择的住宿类型（多选）_其他,Q11_您每年用于旅游的花费大概是多少,Q12_制约您出游的主要因素有（多选）_经济因素,Q12_制约您出游的主要因素有（多选）_交通因素,Q12_制约您出游的主要因素有（多选）_饮食住宿问题,Q12_制约您出游的主要因素有（多选）_身体健康因素,Q12_制约您出游的主要因素有（多选）_时间因素,Q12_制约您出游的主要因素有（多选）_天气因素,Q12_制约您出游的主要因素有（多选）_其他,Q13_在您了解旅游目的地时遇到的问题是（多选）_路线表达不清楚,Q13_在您了解旅游目的地时遇到的问题是（多选）_特色介绍不明确,Q13_在您了解旅游目的地时遇到的问题是（多选）_住宿、饮食介绍不全面,Q13_在您了解旅游目的地时遇到的问题是（多选）_超过费用预算,Q13_在您了解旅游目的地时遇到的问题是（多选）_其他,Q14_您对网络上预订旅游房间、门票等相关服务的看法,Q15_如果选择网络预订，您会比较喜欢哪个网站的风格和服务（多选）_携程网,Q15_如果选择网络预订，您会比较喜欢哪个网站的风格和服务（多选）_大众点评,Q15_如果选择网络预订，您会比较喜欢哪个网站的风格和服务（多选）_去哪儿网,Q15_如果选择网络预订，您会比较喜欢哪个网站的风格和服务（多选）_艺龙网,Q15_如果选择网络预订，您会比较喜欢哪个网站的风格和服务（多选）_同城网,Q15_如果选择网络预订，您会比较喜欢哪个网站的风格和服务（多选）_其他,Q16_您对旅游网站的一些想法和建议？
11,27.227.71.125,2019/5/10 12:46,Chrome 66.0.3359.126,Android Linux 8.1.0,4分33秒,正常完成,其他,女,非常喜欢,,,,单纯出去游玩,,,上旅游网查询,亲朋好友介绍,,,,与亲友自助游,,,,,,,出省游,其他,,,,空余时间,其他,住宿,餐饮,,景区,交通,,,,经济型连锁酒店,,,,,3000元以上,,,,,,,其他,,,,,其他,其他,携程网,,,,,,无
12,117.136.22.142,2019/5/10 12:49,Chrome 68.0.3440.91,Android Linux 8.1.0,3分17秒,正常完成,大三,女,非常喜欢,舒缓压力，调节心情,,,单纯出去游玩,其他,,上旅游网查询,亲朋好友介绍,,其他,,,独自出游,与同学好友结伴,,,,,出省游,,寒暑假,黄金周,,,其他,住宿,餐饮,娱乐,景区,,,,,经济型连锁酒店,,,,,1000-3000元,经济因素,交通因素,,,时间因素,,,,,住宿、饮食介绍不全面,超过费用预算,,经常预订，感觉非常方便,携程网,,,,,其他,多推荐一些攻略
13,223.104.27.210,2019/5/10 12:51,Chrome 66.0.3359.126,Android Linux 8.1.0,2分8秒,正常完成,大三,女,非常喜欢,舒缓压力，调节心情,学校、社团或班级组织的活动,开阔视野，增长见识,单纯出去游玩,,,上旅游网查询,亲朋好友介绍,校园海报广告等宣传,,在旅行社报团,与亲友自助游,,与同学好友结伴,,学校附近,您所在的市区内,您所在的省区内,出省游,,寒暑假,,周末,空余时间,,住宿,餐饮,娱乐,景区,交通,文化,,,经济型连锁酒店,,青年旅舍,民宿,,3000元以上,经济因素,,饮食住宿问题,,时间因素,天气因素,,路线表达不清楚,特色介绍不明确,住宿、饮食介绍不全面,超过费用预算,,经常预订，感觉非常方便,携程网,,,艺龙网,同城网,,无
14,219.145.195.23,2019/5/10 12:51,Unknown Browser,iPhone iOS 11.2,2分1秒,正常完成,大四,男,一般,舒缓压力，调节心情,,,,,,上旅游网查询,亲朋好友介绍,,,,与亲友自助游,,与同学好友结伴,,,,,出省游,,,黄金周,,空余时间,,住宿,,,景区,交通,文化,,,经济型连锁酒店,,,,,1000-3000元,经济因素,,,,时间因素,,,,特色介绍不明确,,,,经常预订，感觉非常方便,携程网,,,,,,无
15,223.104.57.59,2019/5/10 12:52,Chrome 66.0.3359.126,Android Linux 9,2分9秒,正常完成,其他,男,一般,舒缓压力，调节心情,,,,,,,,,其他,,与亲友自助游,独自出游,与同学好友结伴,,,,您所在的省区内,出省游,,寒暑假,黄金周,周末,空余时间,,住宿,餐饮,,景区,交通,文化,,,经济型连锁酒店,,,民宿,,1000-3000元,经济因素,,,,时间因素,,,,,,超过费用预算,,经常预订，感觉非常方便,,,,,,其他,。
16,42.90.119.51,2019/5/10 12:54,Chrome 66.0.3359.126,Android Linux 8.1.0,2分12秒,正常完成,其他,女,非常喜欢,,,,,其他,,上旅游网查询,,,,,与亲友自助游,,,,,,,,其他,,,,空余时间,,,,,,,,其他,星级宾馆酒店,,,,,,3000元以上,,,,,时间因素,,,,,住宿、饮食介绍不全面,,,经常预订，感觉非常方便,携程网,,,,,,很好，非常好
17,42.90.209.5,2019/5/10 12:57,Chrome 66.0.3359.126,Android Linux 5.1,2分27秒,正常完成,大三,女,非常喜欢,舒缓压力，调节心情,,开阔视野，增长见识,,,,上旅游网查询,亲朋好友介绍,校园海报广告等宣传,,在旅行社报团,与亲友自助游,,,,,,您所在的省区内,出省游,,寒暑假,,,空余时间,,,餐饮,,景区,交通,文化,,,,普通招待所,,,,1000-3000元,经济因素,,,,时间因素,,,路线表达不清楚,,,超过费用预算,,和旅行社价格比较，实惠的话，会考虑预订,携程网,,去哪儿网,,,,真实，准确有效
18,223.104.27.234,2019/5/10 13:00,Unknown Browser,iPhone iOS 12.0,2分44秒,正常完成,大三,女,非常喜欢,舒缓压力，调节心情,,开阔视野，增长见识,单纯出去游玩,,,上旅游网查询,,,,,与亲友自助游,,与同学好友结伴,,,,,出省游,,,,,空余时间,,住宿,餐饮,娱乐,景区,交通,文化,,星级宾馆酒店,,,青年旅舍,民宿,,1000-3000元,经济因素,,,,时间因素,,,,特色介绍不明确,,,,经常预订，感觉非常方便,,,去哪儿网,,,,无
19,124.152.205.181,2019/5/10 13:07,Unknown Browser,iPhone iOS 12.1.4,1分32秒,正常完成,大三,女,非常喜欢,舒缓压力，调节心情,,,,,,,亲朋好友介绍,校园海报广告等宣传,,,与亲友自助游,,,,,您所在的市区内,您所在的省区内,,,,,,空余时间,,住宿,餐饮,娱乐,景区,交通,文化,,,经济型连锁酒店,,,民宿,,500元以下,经济因素,,,,,,,,,,超过费用预算,,和旅行社价格比较，实惠的话，会考虑预订,携程网,大众点评,,,,,无
20,117.136.64.53,2019/5/10 13:13,Chrome 66.0.3359.126,Android Linux 8.1.0,3分18秒,正常完成,其他,男,一般,舒缓压力，调节心情,,开阔视野，增长见识,单纯出去游玩,其他,,,亲朋好友介绍,,其他,,与亲友自助游,独自出游,与同学好友结伴,其他,,您所在的市区内,您所在的省区内,,,,,,空余时间,,,餐饮,娱乐,景区,交通,文化,其他,,经济型连锁酒店,普通招待所,,,其他,1000-3000元,经济因素,,,,时间因素,天气因素,,,特色介绍不明确,,,其他,经常预订，感觉非常方便,携程网,,,,,其他,尽可能的介绍详细一点
21,42.90.119.219,2019/5/10 13:23,Chrome 66.0.3359.126,Android Linux 9,0分42秒,正常完成,大三,女,非常喜欢,舒缓压力，调节心情,学校、社团或班级组织的活动,开阔视野，增长见识,单纯出去游玩,,到旅行社咨询,上旅游网查询,亲朋好友介绍,,,在旅行社报团,与亲友自助游,,与同学好友结伴,其他,学校附近,您所在的市区内,您所在的省区内,出省游,,寒暑假,黄金周,周末,空余时间,,,餐饮,娱乐,,,,,,,,,民宿,,3000元以上,经济因素,交通因素,饮食住宿问题,,,,,,,住宿、饮食介绍不全面,超过费用预算,其他,网上看起来不靠谱,携程网,大众点评,去哪儿网,艺龙网,,,加油！
22,124.152.60.165,2019/5/10 13:26,Chrome 66.0.3359.126,Android Linux 7.1.2,2分38秒,正常完成,大二,男,非常喜欢,舒缓压力，调节心情,,开阔视野，增长见识,,,,上旅游网查询,,,,,,,与同学好友结伴,,,,,出省游,,,,,空余时间,,住宿,餐饮,,,交通,,,,经济型连锁酒店,,,民宿,,500-1000元,经济因素,,,,时间因素,,,,,住宿、饮食介绍不全面,超过费用预算,,经常预订，感觉非常方便,,,去哪儿网,,,,不满意退款建议回复快点
23,223.104.56.67,2019/5/10 13:40,Chrome 57.0.2987.132,Android Linux 7.1.1,1分7秒,正常完成,大一,男,非常喜欢,舒缓压力，调节心情,,,,,,,,,其他,,,独自出游,,,,,,出省游,,,,,空余时间,,住宿,餐饮,娱乐,景区,交通,文化,,,,,青年旅舍,民宿,,1000-3000元,,交通因素,,身体健康因素,时间因素,天气因素,,,特色介绍不明确,住宿、饮食介绍不全面,,,和旅行社价格比较，实惠的话，会考虑预订,携程网,,,,,,希望能增加用户体验
24,42.90.70.107,2019/5/10 13:40,Chrome 66.0.3359.126,Android Linux 9,1分41秒,正常完成,大三,男,非常喜欢,舒缓压力，调节心情,,开阔视野，增长见识,,,到旅行社咨询,上旅游网查询,,,,在旅行社报团,,,,,学校附近,,,出省游,,寒暑假,黄金周,,,,住宿,餐饮,娱乐,景区,,,,星级宾馆酒店,,,青年旅舍,,,1000-3000元,经济因素,,饮食住宿问题,,时间因素,,,路线表达不清楚,,住宿、饮食介绍不全面,,,经常预订，感觉非常方便,携程网,,去哪儿网,,,,1
25,42.90.70.2,2019/5/10 13:54,Chrome 66.0.3359.126,Android Linux 8.1.0,1分44秒,正常完成,大一,男,非常喜欢,舒缓压力，调节心情,,开阔视野，增长见识,,,,上旅游网查询,,,,,,独自出游,与同学好友结伴,,,,,出省游,,寒暑假,黄金周,周末,空余时间,,住宿,,,景区,交通,,,,经济型连锁酒店,,,民宿,,3000元以上,经济因素,交通因素,,,时间因素,,,路线表达不清楚,,,超过费用预算,,经常预订，感觉非常方便,携程网,,,,,其他,超哥牛逼
26,43.242.152.34,2019/5/10 13:58,Chrome 66.0.3359.126,Android Linux 5.1,1分41秒,正常完成,其他,男,一般,,,,单纯出去游玩,,,,,,其他,,,独自出游,,,,,,出省游,,寒暑假,,,,,住宿,餐饮,,,交通,文化,,,经济型连锁酒店,,,,,1000-3000元,经济因素,,,,时间因素,天气因素,,,,住宿、饮食介绍不全面,超过费用预算,,和旅行社价格比较，实惠的话，会考虑预订,携程网,,,艺龙网,同城网,,没有
27,117.136.27.19,2019/5/10 14:11,Chrome 66.0.3359.126,Android Linux 6.0,5分57秒,正常完成,大四,女,非常喜欢,舒缓压力，调节心情,,,单纯出去游玩,,,上旅游网查询,亲朋好友介绍,,,,,,与同学好友结伴,,,,您所在的省区内,出省游,,,,周末,空余时间,,住宿,餐饮,娱乐,景区,,,,,经济型连锁酒店,,,民宿,,500-1000元,经济因素,,,,时间因素,,,路线表达不清楚,,,,其他,经常预订，感觉非常方便,携程网,,,,,其他,可以全面化一点，信息丰富些
28,180.95.195.146,2019/5/10 14:30,Chrome 66.0.3359.126,Android Linux 6.0,2分6秒,正常完成,大三,女,一般,舒缓压力，调节心情,,,,,,上旅游网查询,,,,,与亲友自助游,,,,,,您所在的省区内,出省游,,寒暑假,,,,,住宿,餐饮,娱乐,景区,交通,,,,经济型连锁酒店,,,,,3000元以上,经济因素,,饮食住宿问题,身体健康因素,,,,路线表达不清楚,,,超过费用预算,,网上看起来不靠谱,,大众点评,,,,,和自己喜欢的人出去旅游
29,42.90.77.223,2019/5/10 14:30,Chrome 66.0.3359.126,Android Linux 9,2分32秒,正常完成,大三,女,一般,舒缓压力，调节心情,,,单纯出去游玩,,,上旅游网查询,亲朋好友介绍,,其他,,与亲友自助游,,与同学好友结伴,,,,,出省游,其他,寒暑假,,,空余时间,,,,娱乐,景区,,文化,,星级宾馆酒店,经济型连锁酒店,,,,,500-1000元,经济因素,,,,时间因素,,其他,路线表达不清楚,,,超过费用预算,,经常预订，感觉非常方便,,大众点评,,,同城网,其他,无
30,112.17.240.161,2019/5/10 14:37,Chrome 66.0.3359.126,Android Linux 9,1分52秒,正常完成,大一,男,一般,,,开阔视野，增长见识,单纯出去游玩,,到旅行社咨询,上旅游网查询,亲朋好友介绍,校园海报广告等宣传,,,,独自出游,,,,,,出省游,,,,,空余时间,,,餐饮,娱乐,景区,交通,,,星级宾馆酒店,,,,,,1000-3000元,,,,,时间因素,,其他,,特色介绍不明确,住宿、饮食介绍不全面,,,其他,携程网,,,,,,。。。。
31,42.90.116.72,2019/5/10 14:41,Chrome 66.0.3359.126,Android Linux 7.0,1分35秒,正常完成,大三,女,非常喜欢,舒缓压力，调节心情,,开阔视野，增长见识,,,,上旅游网查询,,,,,,,与同学好友结伴,,,,您所在的省区内,出省游,,,,,空余时间,,住宿,餐饮,娱乐,景区,交通,,,,经济型连锁酒店,,,,,500-1000元,经济因素,,饮食住宿问题,,时间因素,天气因素,,路线表达不清楚,特色介绍不明确,住宿、饮食介绍不全面,超过费用预算,,经常预订，感觉非常方便,,,,,,其他,旅游路线可以做的很好
32,223.104.27.221,2019/5/10 14:43,Chrome 66.0.3359.126,Android Linux 9,2分10秒,正常完成,大三,男,非常喜欢,舒缓压力，调节心情,,开阔视野，增长见识,单纯出去游玩,其他,,上旅游网查询,,,其他,,,,与同学好友结伴,,,,,出省游,,寒暑假,黄金周,,空余时间,,住宿,餐饮,娱乐,景区,交通,文化,其他,,经济型连锁酒店,,,,,1000-3000元,经济因素,,,,时间因素,天气因素,,路线表达不清楚,,,超过费用预算,,和旅行社价格比较，实惠的话，会考虑预订,,,去哪儿网,,,,希望能够更加的全面
33,42.90.87.147,2019/5/10 15:50,Chrome 66.0.3359.126,Android Linux 9,2分4秒,正常完成,大四,男,一般,舒缓压力，调节心情,,,单纯出去游玩,,,上旅游网查询,亲朋好友介绍,,,,与亲友自助游,,与同学好友结伴,,学校附近,,您所在的省区内,,,,,,空余时间,,住宿,餐饮,娱乐,,交通,,,,经济型连锁酒店,普通招待所,,,,500-1000元,经济因素,交通因素,,,,,其他,路线表达不清楚,,住宿、饮食介绍不全面,超过费用预算,,经常预订，感觉非常方便,携程网,大众点评,,,,,应该在饮食这一方面着重
34,42.90.121.161,2019/5/10 16:37,Chrome 66.0.3359.126,Android Linux 7.1.1,5分45秒,正常完成,大三,男,一般,舒缓压力，调节心情,学校、社团或班级组织的活动,开阔视野，增长见识,单纯出去游玩,,,,亲朋好友介绍,,,,与亲友自助游,独自出游,与同学好友结伴,,学校附近,您所在的市区内,您所在的省区内,出省游,,寒暑假,黄金周,周末,空余时间,,住宿,餐饮,娱乐,景区,交通,,,,经济型连锁酒店,普通招待所,青年旅舍,,,500元以下,经济因素,交通因素,,,时间因素,天气因素,,路线表达不清楚,特色介绍不明确,住宿、饮食介绍不全面,超过费用预算,,和旅行社价格比较，实惠的话，会考虑预订,携程网,大众点评,,,,,拉叽霸倒，范围太大
35,42.90.199.244,2019/5/10 17:39,Chrome 66.0.3359.126,Android Linux 8.1.0,3分0秒,正常完成,其他,男,一般,舒缓压力，调节心情,,,,,,上旅游网查询,亲朋好友介绍,,,,,独自出游,,,,您所在的市区内,,,,,,,空余时间,,住宿,餐饮,,景区,交通,,,,经济型连锁酒店,,,,,1000-3000元,,交通因素,,身体健康因素,,,,路线表达不清楚,,住宿、饮食介绍不全面,,,和旅行社价格比较，实惠的话，会考虑预订,携程网,,,艺龙网,,,挺好
36,223.104.57.65,2019/5/10 18:16,Chrome 66.0.3359.126,Android Linux 9,4分20秒,正常完成,大四,男,一般,舒缓压力，调节心情,学校、社团或班级组织的活动,开阔视野，增长见识,,,,上旅游网查询,亲朋好友介绍,校园海报广告等宣传,,,与亲友自助游,,与同学好友结伴,,学校附近,您所在的市区内,,,,寒暑假,黄金周,周末,空余时间,,住宿,餐饮,娱乐,景区,,文化,,,经济型连锁酒店,,,,,1000-3000元,经济因素,,,,,,,,特色介绍不明确,住宿、饮食介绍不全面,超过费用预算,,和旅行社价格比较，实惠的话，会考虑预订,,,,,,其他,注意性价比
37,42.90.70.132,2019/5/10 18:54,Chrome 66.0.3359.126,Android Linux 8.0.0,4分23秒,正常完成,大一,女,一般,,学校、社团或班级组织的活动,开阔视野，增长见识,,,,上旅游网查询,,校园海报广告等宣传,,,与亲友自助游,,与同学好友结伴,,,,,出省游,,寒暑假,,,,,,餐饮,,景区,交通,,,,经济型连锁酒店,,,,,500元以下,,,饮食住宿问题,,时间因素,,,路线表达不清楚,特色介绍不明确,,,,和旅行社价格比较，实惠的话，会考虑预订,携程网,,,,,,介绍真实可靠
38,125.76.55.37,2019/5/10 19:27,Unknown Browser,iPhone iOS 12.2,2分17秒,正常完成,其他,女,非常喜欢,舒缓压力，调节心情,,开阔视野，增长见识,单纯出去游玩,,,上旅游网查询,,,,,与亲友自助游,独自出游,与同学好友结伴,,,,,出省游,其他,,,,空余时间,其他,住宿,餐饮,娱乐,,,,,,经济型连锁酒店,,,民宿,,3000元以上,经济因素,,,,时间因素,,,,特色介绍不明确,,,,经常预订，感觉非常方便,携程网,,,,,其他,可以多提供些线路玩法，几日游等
